shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
blue_0,33.706009,73.051881,1,0
blue_0,33.707185,73.054165,2,0.248
blue_0,33.707004,73.054423,3,0.28
blue_0,33.707003,73.054418,4,0.28
blue_0,33.704624,73.056143,5,0.589
blue_0,33.701482,73.058473,6,1
blue_0,33.701284,73.058738,7,1.033
blue_0,33.701149,73.059086,8,1.068
blue_0,33.700877,73.059134,9,1.099
blue_0,33.700664,73.059162,10,1.122
blue_0,33.698709,73.060661,11,1.38
blue_0,33.696934,73.062064,12,1.617
blue_0,33.696344,73.06236,13,1.688
blue_0,33.696131,73.062456,14,1.713
blue_0,33.694137,73.061933,15,1.94
blue_0,33.693357,73.061603,16,2.032
blue_0,33.692932,73.061365,17,2.084
blue_0,33.692496,73.060877,18,2.15
blue_0,33.692195,73.060357,19,2.209
blue_0,33.691987,73.060444,20,2.233
blue_0,33.691782,73.060722,21,2.268
blue_0,33.691719,73.061058,22,2.3
blue_0,33.694572,73.066335,23,2.882
blue_0,33.695094,73.066671,24,2.948
blue_0,33.695495,73.066649,25,2.992
blue_0,33.695807,73.066452,26,3.031
blue_0,33.69609,73.065865,27,3.094
blue_0,33.695999,73.065339,28,3.144
blue_0,33.695678,73.064801,29,3.205
blue_0,33.695003,73.064636,30,3.282
blue_0,33.694402,73.064935,31,3.354
blue_0,33.649495,73.098582,32,9.239
blue_0,33.598445,73.136756,33,15.926
blue_0,33.597968,73.137274,34,15.997
blue_0,33.597942,73.13788,35,16.053
blue_0,33.598203,73.138473,36,16.116
blue_0,33.598458,73.138598,37,16.146
blue_0,33.598506,73.13845,38,16.161
blue_0,33.598505,73.138319,39,16.173
blue_0,33.598357,73.137992,40,16.207
blue_1,33.598575,73.137993,1,0
blue_1,33.598579,73.138472,2,0.044
blue_1,33.598576,73.138667,3,0.062
blue_1,33.598167,73.138995,4,0.117
blue_1,33.597229,73.139693,5,0.24
blue_1,33.596706,73.139834,6,0.299
blue_1,33.596076,73.140297,7,0.382
blue_1,33.595911,73.14025,8,0.4
blue_1,33.595689,73.139673,9,0.459
blue_1,33.595008,73.138123,10,0.622
