trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint

fr_3A_0_T01,06:00:00,06:00:00,pims_hospital_fr_up,1,PIMS Hospital,,,1,1,,1
fr_3A_0_T01,,,pims_station_fr_up,2,PIMS Metro Station,,,1,1,,
fr_3A_0_T01,,,katcher_up,3,Katchery,,,1,1,,
fr_3A_0_T01,,,f8_markaz_up,4,F-8 Markaz,,,1,1,,
fr_3A_0_T01,,,f9_park_up,5,F-9 Park,,,1,1,,
fr_3A_0_T01,,,shaheen_up,6,Shaheen Chowk,,,1,1,,
fr_3A_0_T01,,,bahria_uni_up,7,Bahria University,,,1,1,,
fr_3A_0_T01,,,naval_up,8,Naval Complex,,,1,1,,
fr_3A_0_T01,,,faisal_masjid_up,9,Faisal Masjid,,,1,1,,
fr_3A_0_T01,,,parveen_up,10,Parveen Shakir Road,,,1,1,,
fr_3A_0_T01,,,kohsar_up,11,Kohsar Road,,,1,1,,
fr_3A_0_T01,,,zoo_up,12,Murghzar Zoo,,,1,1,,
fr_3A_0_T01,,,f6_2_up,13,F-6/2,,,1,1,,
fr_3A_0_T01,07:00:00,07:00:00,saidpur_up,14,Saidpur Village,,,1,1,,1
fr_3A_1_T01,06:00:00,06:00:00,saidpur_down,1,Saidpur Village,,,1,1,,1
fr_3A_1_T01,,,f6_2_down,2,F-6/2,,,1,1,,
fr_3A_1_T01,,,kohsar_down,4,Kohsar Road,,,1,1,,
fr_3A_1_T01,,,parveen_down,5,Parveen Shakir Road,,,1,1,,
fr_3A_1_T01,,,faisal_masjid_down,6,Faisal Masjid,,,1,1,,
fr_3A_1_T01,,,naval_down,7,Naval Complex,,,1,1,,
fr_3A_1_T01,,,bahria_uni_down,8,Bahria University,,,1,1,,
fr_3A_1_T01,,,shaheen_down,9,Shaheen Chowk,,,1,1,,
fr_3A_1_T01,,,f9_park_down,10,Ravi Gate F-9,,,1,1,,
fr_3A_1_T01,,,f8_markaz_down,11,F-8 Markaz,,,1,1,,
fr_3A_1_T01,,,katcher_down,12,F-8 Katchery,,,1,1,,
fr_3A_1_T01,,,pims_station_fr_down,13,PIMS Metro Station,,,1,1,,
fr_3A_1_T01,07:00:00,07:00:00,pims_hospital_fr_down,14,PIMS Hospital,,,1,1,,1
fr_4_0_T01,06:00:00,06:00:00,pims_hospital_fr_up,1,PIMS Hospital,,,1,1,,1
fr_4_0_T01,,,children_hospital_up,2,Children Hospital,,,1,1,,
fr_4_0_T01,,,rescue_up,3,Rescue 15,,,1,1,,
fr_4_0_T01,,,bank_up,4,Bank Colony,,,1,1,,
fr_4_0_T01,,,salai_up,5,Salai Centre,,,1,1,,
fr_4_0_T01,,,sitara_up,6,Sitara Market,,,1,1,,
fr_4_0_T01,,,pully_up,7,Pully Stop,,,1,1,,
fr_4_0_T01,,,iqbal_hall_up,8,Iqbal Hall,,,1,1,,
fr_4_0_T01,,,g61_up,9,"G-6/1,2",,,1,1,,
fr_4_0_T01,,,melody_up,10,Melody Market,,,1,1,,
fr_4_0_T01,,,aabpara_up,11,Abpara Market,,,1,1,,
fr_4_0_T01,,,youth_hostel_up,12,Youth Hostel,,,1,1,,
fr_4_0_T01,,,mci_up,13,Metropolitan Corporation,,,1,1,,
fr_4_0_T01,,,icb_up,14,ICB College,,,1,1,,
fr_4_0_T01,,,nadra_up,15,NADRA Chowk,,,1,1,,
fr_4_0_T01,,,lodges_up,16,Lodges Park,,,1,1,,
fr_4_0_T01,,,sukh_park_up,17,Sukh Chayn Park,,,1,1,,
fr_4_0_T01,,,mofa_up,18,Ministry of Foreign Affairs,,,1,1,,
fr_4_0_T01,,,radio_up,19,Radio Pakistan,,,1,1,,
fr_4_0_T01,,,nat_library_up,20,National Library,,,1,1,,
fr_4_0_T01,,,sec_police_up,21,Secretariate Police Station,,,1,1,,
fr_4_0_T01,,,diplomatic_up,22,Diplomatic Enclave Gate 4,,,1,1,,
fr_4_0_T01,,,aiwan_up,23,Aiwan e Sadar Colony,,,1,1,,
fr_4_0_T01,,,muslim_colony_up,24,Muslim Colony,,,1,1,,
fr_4_0_T01,07:00:00,07:00:00,bari_imam_up,25,Bari Imam,,,1,1,,1
fr_4_1_T01,06:00:00,06:00:00,bari_imam_down,1,Bari Imam,,,1,1,,1
fr_4_1_T01,,,muslim_colony_down,2,Muslim Colony,,,1,1,,
fr_4_1_T01,,,aiwan_down,3,Aiwan e Sadar Colony,,,1,1,,
fr_4_1_T01,,,diplomatic_down,4,Diplomatic Enclave Gate 4,,,1,1,,
fr_4_1_T01,,,sec_police_down,5,Secretariate Police Station,,,1,1,,
fr_4_1_T01,,,nat_library_down,6,National Library,,,1,1,,
fr_4_1_T01,,,radio_down,7,Radio Pakistan,,,1,1,,
fr_4_1_T01,,,mofa_down,8,Ministry of Foreign Affairs,,,1,1,,
fr_4_1_T01,,,sukh_park_down,9,Sukh Chayn Park,,,1,1,,
fr_4_1_T01,,,lodges_down,10,Lodges Park,,,1,1,,
fr_4_1_T01,,,nadra_down,11,NADRA Chowk,,,1,1,,
