stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
saddar,,Saddar Metro Station,,33.5936443,73.056053,,,0,,,1
marrirChowk,,Marrir Chowk Metro Station,,33.5995017,73.0625795,,,0,,,1
liaquatBagh,,Liaquat Bagh Metro Station,,33.6062291,73.065699,,,0,,,1
committeeChowk,,Committee Chowk Metro Station,,33.6131163,73.0652107,,,0,,,1
warisKhan,,Waris Khan Metro Station,,33.6205626,73.066092,,,0,,,1
chandaniChowk,,Chandani Chowk Metro Station,,33.6301297,73.0719579,,,0,,,1
rehmanabad,,Rehmanabad Metro Station,,33.6362563,73.0749242,,,0,,,1
sixthRoad,,6th Road Metro Station,,33.6433588,73.0777364,,,0,,,1
shamsabad,,Shamsabad Metro Station,,33.6501388,73.0799013,,,0,,,1
faizabad,,Faizabad Metro Station,,33.6617972,73.0826385,,,0,,,1
ijPrincipal,,IJ Principal Metro Station,,33.6561634,73.0717019,,,0,,,1
potohar,,Potohar Metro Station,,33.6605287,73.064574,,,0,,,1
khayabanEJohar,,Khayaban-e-Johar Metro Station,,33.6694001,73.059125,,,0,,,1
faizAhmadFaiz,,Faiz Ahmad Faiz Metro Station,,33.675756,73.0542997,,,0,,,1
kashmirHighway,,Kashmir Highway Metro Station,,33.6840535,73.0479942,,,0,,,1
chaman,,Chaman Metro Station,,33.6901809,73.0435413,,,0,,,1
ibnESina,,Ibn-e-Sina Metro Station,,33.6969193,73.0393663,,,0,,,1
kachehry,,Kachehry Metro Station,,33.7025069,73.0420554,,,0,,,1
pims,,PIMS Metro Station,,33.705651,73.0483477,,,0,,,1
stockExchange,,Stock Exchange Metro Station,,33.7117685,73.060332,,,0,,,1
seventhAvenue,,7th Avenue Metro Station,,33.7180774,73.0717796,,,0,,,1
shaheedEMillat,,Shaheed-E-Millat Metro Station,,33.7217407,73.0787775,,,0,,,1
paradeGround,,Parade Ground Metro Station,,33.7250052,73.0847182,,,0,,,1
secretariat,,Secretariat Metro Station,,33.7362131,73.0915904,,,0,,,1
nha,,NHA/G-9 Metro Station,,33.6772902,73.0348232,,,0,,,1
g10,,G-10 Metro Station,,33.6671121,73.0153848,,,0,,,1
policeFoundation,,Police Foundation Metro Station,,33.6630205,73.0073486,,,0,,,1
nust,,NUST/G-12 Metro Station,,33.6558428,72.9944411,,,0,,,1
g13,,G-13 Metro Station,,33.6501591,72.9797833,,,0,,,1
golraMorr,,Golra Morh Metro Station,,33.6419043,72.9618262,,,0,,,1
n5,,N-5/26 No Chungi Metro Station,,33.6319637,72.9447701,,,0,,,1
airport,,Islamabad Int. Airport Stop,,33.5559396,72.8373561,,,0,,,1
rakhPindRanjhan,,Rakh Pind Ranjhan Stop,,33.5755811,72.8603839,,,0,,,1
motorwayInterchange,,Motorway Interchange Stop,,33.5899702,72.8702321,,,0,,,1
badhanaKalan,,Badhana Kalan Stop,,33.6164769,72.9138348,,,0,,,1
bharakau,,"Jillani, Barakahu Stop",,33.7354559,73.1656173,,,0,,,1
shahdara,,Shahdara Stop,,33.7345439,73.1593785,,,0,,,1
malpur,,Malpur Stop,,33.728902,73.1440105,,,0,,,1
lakeviewPark,,Lakeview Park Stop,,33.7229765,73.1360368,,,0,,,1
foreignOffice,,Foreign Office Stop,,33.712534,73.1014702,,,0,,,1
aabpara,,Aabpara Stop,,33.7057267,73.0879408,,,0,,,1
cda,,CDA Stop,,33.7002627,73.0781622,,,0,,,1
g7g8,,G7/G8 Stop,,33.6976564,73.0619225,,,0,,,1
pims_children_hospital,,Children Hospital Stop,,33.7053652,73.0555847,,,0,,,1
pims_gate,,PIMS Gate Stop,,33.7061483,73.0521991,,,0,,,1
h8Shakarparia,,H-8 / Shakarparia Stop,,33.6840999,73.0727329,,,0,,,1
i8ParadeGround,,I-8 / Parade Ground Stop,,33.6734678,73.080716,,,0,,,1
sohan,,Sohan Stop,,33.6596256,73.0905242,,,0,,,1
dhokeKalaKhan,,Dhoke Kala Khan Stop,,33.6497653,73.097783,,,0,,,1
iqbalTown,,Iqbal Town Stop,,33.6458237,73.1008445,,,0,,,1
kuriRoad,,Kuri Road Stop,,33.6421623,73.1035328,,,0,,,1
ziaMasjid,,Zia Masjid Stop,,33.6366299,73.1076815,,,0,,,1
khannaPul,,Khanna Pul Stop,,33.6259023,73.115628,,,0,,,1
fazaia,,Fazaia Stop,,33.6209476,73.1193772,,,0,,,1
gangal,,Gangal Stop,,33.6124425,73.1260661,,,0,,,1
koralChowk,,Koral Chowk Stop,,33.6032251,73.1329987,,,0,,,1
