stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
aabpara_down,,Aabpara,,33.70589133,73.0887398,,,,,,
aabpara_up,,Aabpara,,33.70572668,73.08794082,,,,,,
aiwan_down,,Aiwan e Sadar Colony,,33.73374613,73.10873332,,,,,,
aiwan_up,,Aiwan e Sadar Colony,,33.7337182,73.10849341,,,,,,
ak_brohi_down,,A. K. Brohi Road,,33.66183905,73.00243329,,,,,,
ak_brohi_up,,A. K. Brohi Road,,33.66196262,73.00217684,,,,,,
bahria_uni_down,,Bahria University,,33.71560256,73.03164145,,,,,,
bahria_uni_up,,Bahria University,,33.71559128,73.03121303,,,,,,
bank_down,,Bank Colony,,33.70022305,73.06213692,,,,,,
bank_up,,Bank Colony,,33.7003844,73.06194488,,,,,,
bar_council_down,,Bar Council,,33.65922891,72.99694365,,,,,,
bar_council_up,,Bar Council,,33.65929611,72.99718386,,,,,,
bari_imam_up,,Bari Imam,,33.74355542,73.10944502,,,,,,
bari_imam_down,,Bari Imam,,33.74348873,73.10964209,,,,,,
Barakahu_down,,Barakahu Stop,,33.73501466,73.16767121,,,,,,
Barakahu_up,,Barakahu,,33.73545586,73.16561725,,,,,,
british_homes_down,,British Homes,,33.61797586,72.99897363,,,,,,
british_homes_up,,British Homes,,33.61826269,73.00021133,,,,,,
chaman_station_fr_down,,Chaman Metro Station,,33.6919068,73.04366551,,,,,,
chaman_station_fr_up,,Chaman Metro Station,,33.69165251,73.0437072,,,,,,
children_hospital_down,,Children Hospital,,33.70527954,73.05555599,,,,,,
children_hospital_up,,Children Hospital,,33.70536521,73.05558474,,,,,,
college_morh_down,,College Morh,,33.68098078,73.01834874,,,,,,
college_morh_up,,College Morh,,33.68117359,73.01904928,,,,,,
carriage_factory_down,,Carriage Factory,,33.63024333,73.02231904,,,,,,
carriage_factory_up,,Carriage Factory,,33.62996787,73.02257763,,,,,,
cda_ijp_down,,CDA-1 Stop,,33.64150229,73.04382662,,,,,,
cda_ijp_up,,CDA-1 Stop,,33.64131344,73.04417552,,,,,,
cda_stop_down,,CDA Stop,,33.70025953,73.07808329,,,,,,
cda_stop_up,,CDA Stop,,33.70069062,73.07779844,,,,,,
chatta_bakhtawar_down,,Chatta Bakhtawar,,33.66454697,73.15212112,,,,,,
chatta_bakhtawar_up,,Chatta Bakhtawar,,33.6642002,73.1527488,,,,,,
children_hospital_down,,Children Hospital,,33.70527954,73.05555599,,,,,,
children_hospital_gb_down,,Children Hospital,,33.705579,73.056051,,,,,,
children_hospital_up,,Children Hospital,,33.70536521,73.05558474,,,,,,
comsats_down,,COMSATS University,,33.65279753,73.15772477,,,,,,
comsats_up,,COMSATS University,,33.65316254,73.15760919,,,,,,
ctti_down,,CTTI,,33.62393646,73.0103753,,,,,,
ctti_up,,CTTI,,33.62361802,73.01049728,,,,,,
dental_down,,Dental Hospital,,33.69994662,73.04904059,,,,,,
dental_up,,Dental Hospital,,33.69964837,73.048884,,,,,,
dev_park_down,,Development Park,,33.69561578,73.04775758,,,,,,
dev_park_up,,Development Park,,33.69543927,73.04783135,,,,,,
diplomatic_down,,Diplomatic Enclave Gate 4,,33.73102428,73.11076675,,,,,,
diplomatic_up,,Diplomatic Enclave Gate 4,,33.73101879,73.11054991,,,,,,

dhok_kala_down,,Dhoke Kala Khan,,33.65007895,73.09831828,,,,,,
dhok_kala_up,,Dhoke Kala Khan,,33.64976531,73.09778298,,,,,,
eme_college_down,,EME College,,33.62380656,72.95397341,,,,,,
eme_college_up,,EME College,,33.62405734,72.95409082,,,,,,
f10_down,,F-10 Markaz,,33.69417227,73.0120975,,,,,,
f10_up,,F-10 Markaz,,33.69407323,73.0122906,,,,,,
f10f11_down,,F-10/ F-11 Greenbelt,,33.68695433,72.99682048,,,,,,
f10f11_up,,F-10/ F-11 Greenbelt,,33.68673825,72.99695637,,,,,,
f11_markaz_down,,F-11 Markaz,,33.68294111,72.98812477,,,,,,
f11_markaz_up,,F-11 Markaz,,33.6825768,72.9889853,,,,,,
f8_markaz_down,,F-8 Markaz,,33.71185552,73.03731216,,,,,,
f8_markaz_up,,F-8 Markaz,,33.71173404,73.03716279,,,,,,
f9_park_down,,F-9 Park Ravi Gate,,33.70971001,73.02893835,,,,,,
f9_park_up,,F-9 Park Ravi Gate,,33.70974193,73.02849518,,,,,,
faisal_masjid_down,,Faisal Masjid,,33.72739822,73.04010509,,,,,,
faisal_masjid_up,,Faisal Masjid,,33.72740136,73.03980805,,,,,,
fazaia_housing_down,,Fazaia Housing Society,,33.71065694,73.02181217,,,,,,
fazaia_housing_up,,Fazaia Housing Society,,33.7101905,73.02137838,,,,,,
g10_markaz_down,,G-10 Markaz,,33.67670728,73.01443929,,,,,,
faizabad_interchange_down,,Faizabad Interchange,,33.66399917,73.08684102,,,,,,
faizabad_interchange_up,,Faizabad Interchange,,33.66680354,73.08686444,,,,,,
faizabad_station_down,,Faizabad Metro Station,,33.66188134,73.08220051,,,,,,
faizabad_station_up,,Faizabad Metro Station,,33.66179723,73.08263847,,,,,,
fauji_colony_down,,Fauji Colony,,33.63285499,73.02711182,,,,,,
fauji_colony_up,,Fauji Colony,,33.63252727,73.02742529,,,,,,
fazaia_colony_down,,Fazaia Colony,,33.62015977,73.120018,,,,,,
fazaia_colony_up,,Fazaia Colony,,33.62060808,73.12032961,,,,,,
fazaia_housing_down,,Fazaia Housing Society,,33.71065694,73.02181217,,,,,,
fazaia_housing_up,,Fazaia Housing Society,,33.7101905,73.02137838,,,,,,
