from_stop_id,to_stop_id,transfer_type,min_transfer_time
golra_morh_fr9_down,golra_morh_fr9_down,,120
golra_morh_fr9_up,golra_morh_fr9_up,,120
golra_morh_station_fr_down,golra_morh_station_fr_down,,120
golra_morh_station_fr_up,golra_morh_station_fr_up,,120
pims_hospital_gb_up,pims_hospital_gb_up,,120
pims_hospital_gb_down,pims_hospital_gb_down,,120
pims_hospital_fr_down,pims_hospital_fr_down,,120
pims_hospital_fr_up,pims_hospital_fr_up,,120
pims_station_fr_down,pims_station_fr_down,,120
pims_station_fr_up,pims_station_fr_up,,120
children_hospital_down,children_hospital_down,,120
children_hospital_gb_down,children_hospital_gb_down,,120
children_hospital_up,children_hospital_up,,120
g7g8_down,g7g8_down,,120
g7g8_up,g7g8_up,,120
shakarparia_down,shakarparia_down,,120
shakarparia_up,shakarparia_up,,120
parade_ground_down,parade_ground_down,,120
parade_ground_up,parade_ground_up,,120
cda_stop_down,cda_stop_down,,120
cda_stop_up,cda_stop_up,,120
aabpara_down,aabpara_down,,120
aabpara_up,aabpara_up,,120
fo_down,fo_down,,120
fo_up,fo_up,,120
lake_down,lake_down,,120
lake_up,lake_up,,120
malpur_down,malpur_down,,120
malpur_up,malpur_up,,120
shahdara_down,shahdara_down,,120
shahdara_up,shahdara_up,,120
Barakahu_down,Barakahu_down,,120
Barakahu_up,Barakahu_up,,120
mandi_morh_down,mandi_morh_down,,120
mandi_morh_up,mandi_morh_up,,120
pully_stop_ijp_down,pully_stop_ijp_down,,120
pully_stop_ijp_up,pully_stop_ijp_up,,120
cda_ijp_down,cda_ijp_down,,120
cda_ijp_up,cda_ijp_up,,120
katarian_down,katarian_down,,120
katarian_pull_down,katarian_pull_down,,120
katarian_pull_up,katarian_pull_up,,120
katarian_up,katarian_up,,120
pindora_chungi_down,pindora_chungi_down,,120
pindora_chungi_up,pindora_chungi_up,,120
itp_down,itp_down,,120
itp_up,itp_up,,120
margalla_town_down,margalla_town_down,,120
margalla_town_up,margalla_town_up,,120
rawal_chowk_down,rawal_chowk_down,,120
rawal_chowk_up,rawal_chowk_up,,120
kashmir_chowk_down,kashmir_chowk_down,,120
kashmir_chowk_up,kashmir_chowk_up,,120
ijp_station_fr_down,ijp_station_fr_down,,120
ijp_station_fr_up,ijp_station_fr_up,,120
faizabad_station_down,faizabad_station_down,,120
faizabad_station_up,faizabad_station_up,,120
sohan_down,sohan_down,,120
sohan_up,sohan_up,,120
dhok_kala_down,dhok_kala_down,,120
dhok_kala_up,dhok_kala_up,,120
n5_station_fr13_up,n5_station_fr13_up,,120
iqbal_town_down,iqbal_town_down,,120
iqbal_town_up,iqbal_town_up,,120
kuri_road_down,kuri_road_down,,120
kuri_road_up,kuri_road_up,,120
zia_masjid_down,zia_masjid_down,,120
zia_masjid_up,zia_masjid_up,,120
fazaia_colony_down,fazaia_colony_down,,120
fazaia_colony_up,fazaia_colony_up,,120
gangal_down,gangal_down,,120
gangal_up,gangal_up,,120
koral_chowk_down,koral_chowk_down,,120
koral_chowk_up,koral_chowk_up,,120
gulberg_down,gulberg_down,,120
gulberg_up,gulberg_up,,120
rawal_dam_colony_down,rawal_dam_colony_down,,120
rawal_dam_colony_up,rawal_dam_colony_up,,120
rawal_town_down,rawal_town_down,,120
rawal_town_up,rawal_town_up,,120
school_board_down,school_board_down,,120
school_board_up,school_board_up,,120
narc_colony_down,narc_colony_down,,120
narc_colony_up,narc_colony_up,,120
nih_allergy_down,nih_allergy_down,,120
nih_allergy_up,nih_allergy_up,,120
shehzad_town_down,shehzad_town_down,,120
shehzad_town_up,shehzad_town_up,,120
park_view_city_down,park_view_city_down,,120
park_view_city_up,park_view_city_up,,120
green_avenue_down,green_avenue_down,,120
green_avenue_up,green_avenue_up,,120
chatta_bakhtawar_down,chatta_bakhtawar_down,,120
chatta_bakhtawar_up,chatta_bakhtawar_up,,120
hostel_city_down,hostel_city_down,,120
hostel_city_up,hostel_city_up,,120
comsats_down,comsats_down,,120
comsats_up,comsats_up,,120
tamma_down,tamma_down,,120
tamma_up,tamma_up,,120
tramri_down,tramri_down,,120
tramri_up,tramri_up,,120
eme_college_up,eme_college_up,,120
kohinoor_down,kohinoor_down,,120
kohinoor_colony_down,kohinoor_colony_down,,120
shaheen_down,shaheen_down,,120
shaheen_up,shaheen_up,,120
f9_park_down,f9_park_down,,120
f9_park_up,f9_park_up,,120
pims_hospital_fr_down,pims_hospital_fr_down,,120
pims_hospital_fr_up,pims_hospital_fr_up,,120
children_hospital_down,children_hospital_down,,120
children_hospital_up,children_hospital_up,,120
g9_markaz_up,g9_markaz_up,,120
g94_park_down,g94_park_down,,120
g94_park_up,g94_park_up,,120
